seq,latitude,longitude,x,y,option
2587,37.2888724,127.1072727,332223.602965847,4128597.93713454,0
2590,37.2888688,127.1072699,332223.34674513,4128597.54266643,0
2593,37.2888653,127.107267,332223.081881396,4128597.15947131,0
2596,37.2888616,127.1072641,332222.81657336,4128596.75408521,0
2599,37.2888581,127.1072614,332222.569439847,4128596.37053513,0
2602,37.2888546,127.1072585,332222.304576043,4128595.98734003,0
2605,37.2888509,127.1072563,332222.101323877,4128595.58071154,0
2608,37.2888471,127.1072543,332221.915579823,4128595.16263259,0
2611,37.2888432,127.1072524,332221.738478745,4128594.73328066,0
2614,37.2888394,127.1072506,332221.57046493,4128594.31484675,0
2617,37.2888356,127.1072486,332221.384720824,4128593.89676781,0
2620,37.2888317,127.1072466,332221.198754559,4128593.46759338,0
2623,37.2888277,127.1072448,332221.030296409,4128593.02696849,0
2626,37.288824,127.1072429,332220.853639534,4128592.61980756,0
2629,37.28882,127.1072411,332220.685181352,4128592.17918268,0
2632,37.2888162,127.1072394,332220.526032579,4128591.76057129,0
2635,37.2888124,127.1072375,332220.349153512,4128591.34231488,0
2638,37.2888085,127.1072358,332220.189782567,4128590.91260801,0
2641,37.2888046,127.107234,332220.021546465,4128590.48307863,0
2644,37.2888008,127.1072324,332219.871262774,4128590.06428976,0
2647,37.288797,127.1072305,332219.694383646,4128589.64603337,0
2650,37.2887932,127.1072289,332219.544099924,4128589.22724451,0
2653,37.2887893,127.1072272,332219.384728905,4128588.79753765,0
2656,37.2887855,127.1072256,332219.234445155,4128588.37874879,0
2659,37.2887816,127.1072239,332219.075074107,4128587.94904194,0
2662,37.2887779,127.1072221,332218.907282189,4128587.54170356,0
2665,37.2887741,127.1072202,332218.730402967,4128587.12344719,0
2668,37.2887705,127.107218,332218.527372585,4128586.72791427,0
2671,37.2887667,127.1072159,332218.33276304,4128586.31001288,0
2674,37.288763,127.1072138,332218.138375622,4128585.90320699,0
2677,37.2887593,127.1072117,332217.943988189,4128585.4964011,0
2680,37.2887554,127.1072096,332217.749156444,4128585.06740424,0
2683,37.2887516,127.1072075,332217.554546827,4128584.64950287,0
2686,37.2887478,127.1072054,332217.359937191,4128584.2316015,0
2689,37.2887441,127.1072032,332217.156684539,4128583.82497312,0
2692,37.2887402,127.1072011,332216.961852721,4128583.39597627,0
2695,37.2887364,127.107199,332216.767243031,4128582.97807492,0
2698,37.2887327,127.1071969,332216.57285547,4128582.57126906,0
2701,37.2887289,127.1071948,332216.378245744,4128582.15336772,0
2704,37.2887252,127.1071927,332216.18385815,4128581.74656187,0
2707,37.2887214,127.1071908,332216.006978688,4128581.32830554,0
2710,37.2887176,127.1071887,332215.812368909,4128580.91040421,0
2713,37.2887139,127.1071868,332215.635711564,4128580.50324338,0
2716,37.2887098,127.1071847,332215.440435304,4128580.05205558,0
2719,37.288706,127.1071828,332215.263555775,4128579.63379927,0
2722,37.288702,127.1071809,332215.086231931,4128579.19335198,0
2725,37.288698,127.1071792,332214.926638378,4128578.75254971,0
2728,37.288694,127.1071774,332214.758179656,4128578.31192493,0
2731,37.2886901,127.1071757,332214.598808219,4128577.88221815,0
2734,37.288686,127.107174,332214.438992471,4128577.43032039,0
2737,37.288682,127.1071722,332214.270533699,4128576.98969563,0
2740,37.2886782,127.1071705,332214.111384369,4128576.57108435,0
2743,37.2886741,127.1071688,332213.951568572,4128576.1191866,0
2746,37.2886702,127.1071671,332213.792197062,4128575.68947983,0
2749,37.2886662,127.1071654,332213.632603386,4128575.24867758,0
2752,37.2886622,127.1071638,332213.48187485,4128574.80769784,0
2755,37.2886584,127.1071619,332213.304995132,4128574.38944156,0
2758,37.2886544,127.1071601,332213.136536251,4128573.94881682,0
2761,37.2886504,127.1071582,332212.959212198,4128573.50836957,0
2764,37.2886465,127.1071563,332212.782110277,4128573.07901781,0
2767,37.2886425,127.1071542,332212.587055869,4128572.63892556,0
2770,37.2886387,127.1071523,332212.410176065,4128572.22066931,0
2773,37.2886348,127.1071503,332212.224208936,4128571.79149506,0
2776,37.288631,127.1071482,332212.029598778,4128571.37359381,0
2779,37.288627,127.1071462,332211.843409458,4128570.93332408,0
2782,37.2886232,127.1071441,332211.648799266,4128570.51542283,0
2785,37.2886195,127.107142,332211.454411207,4128570.10861708,0
2788,37.2886157,127.1071398,332211.250935815,4128569.69089334,0
2791,37.2886118,127.1071375,332211.038373087,4128569.26225161,0
2794,37.288608,127.1071351,332210.81716733,4128568.84488287,0
2797,37.2886041,127.1071328,332210.604604562,4128568.41624116,0
2800,37.2886004,127.1071305,332210.392486081,4128568.00979043,0
2803,37.2885966,127.1071282,332210.180145427,4128567.59224421,0
2806,37.2885929,127.107126,332209.976892073,4128567.18561599,0
2809,37.288589,127.1071238,332209.773194391,4128566.75679679,0
2812,37.2885852,127.1071218,332209.587449175,4128566.33871809,0
2815,37.2885814,127.1071197,332209.392838779,4128565.92081689,0
2818,37.2885774,127.1071177,332209.206649218,4128565.48054721,0
2821,37.2885736,127.1071156,332209.012038785,4128565.06264602,0
2824,37.2885697,127.1071137,332208.834936512,4128564.63329434,0
2827,37.2885659,127.1071117,332208.64919121,4128564.21521566,0
2830,37.288562,127.1071097,332208.463223734,4128563.78604149,0
2833,37.2885582,127.1071078,332208.286343569,4128563.36778531,0
2836,37.2885544,127.107106,332208.118328555,4128562.94935164,0
2839,37.2885506,127.1071041,332207.941448358,4128562.53109547,0
2842,37.2885468,127.1071024,332207.782298483,4128562.1124843,0
2845,37.288543,127.1071004,332207.596553083,4128561.69440564,0
2848,37.2885394,127.1070983,332207.402386808,4128561.29869547,0
2851,37.2885358,127.1070959,332207.181625001,4128560.9035178,0
2854,37.2885323,127.1070933,332206.943354985,4128560.51979064,0
2857,37.288529,127.1070904,332206.678933751,4128560.15878697,0
2860,37.2885258,127.1070873,332206.397004305,4128559.80923381,0
2863,37.2885227,127.1070841,332206.106431825,4128559.47095366,0
2866,37.2885198,127.1070805,332205.780842944,4128559.1555745,0
2869,37.2885172,127.1070767,332205.438190171,4128558.87383684,0
2872,37.2885149,127.1070726,332205.069608333,4128558.62591819,0
2875,37.2885128,127.1070682,332204.674875273,4128558.40072304,0
2878,37.288511,127.1070635,332204.254213148,4128558.2093469,0
2881,37.2885095,127.1070586,332203.816487143,4128558.05161227,0
2884,37.2885085,127.1070536,332203.371006759,4128557.94953263,0
2887,37.2885078,127.1070485,332202.917327679,4128557.88091699,0
2890,37.2885076,127.1070433,332202.455894235,4128557.86795634,0
2893,37.2885076,127.107038,332201.98603994,4128557.8773642,0
2896,37.2885081,127.1070329,332201.535026824,4128557.94189454,0
2899,37.2885089,127.1070279,332201.093545384,4128558.03953387,0
2902,37.2885101,127.1070231,332200.670682972,4128558.18120017,0
2905,37.2885116,127.1070182,332200.239621899,4128558.35633048,0
2908,37.2885134,127.1070135,332199.826957695,4128558.56439227,0
2911,37.2885153,127.107009,332199.432246028,4128558.78319455,0
2914,37.2885174,127.1070046,332199.046843895,4128559.02401032,0
2917,37.2885198,127.1070004,332198.679838636,4128559.29775757,0
2920,37.2885223,127.1069964,332198.33078592,4128559.5822453,0
2923,37.288525,127.1069926,332197.999907914,4128559.88856901,0
2926,37.288528,127.1069891,332197.696291963,4128560.22764668,0
2929,37.2885312,127.1069861,332197.437446241,4128560.58802778,0
2932,37.2885346,127.1069834,332197.205640403,4128560.97006733,0
2935,37.2885382,127.1069811,332197.009739617,4128561.37358783,0
2938,37.2885421,127.1069791,332196.84110088,4128561.80986227,0
2941,37.288546,127.1069777,332196.725653189,4128562.24507164,0
2944,37.2885501,127.1069767,332196.646110536,4128562.70176194,0
2947,37.2885542,127.1069762,332196.610893746,4128563.15756467,0
2950,37.2885581,127.1069761,332196.610693294,4128563.59046637,0
2953,37.2885621,127.1069763,332196.637310522,4128564.03393103,0
2956,37.2885662,127.106977,332196.708475765,4128564.48760361,0
2959,37.2885701,127.1069782,332196.823522498,4128564.91819764,0
2962,37.2885739,127.1069795,332196.947212214,4128565.33751867,0
2965,37.2885779,127.1069811,332197.097941768,4128565.77849815,0
2968,37.2885819,127.1069824,332197.222075806,4128566.22001017,0
2971,37.2885859,127.1069835,332197.328479501,4128566.66187721,0
2974,37.28859,127.1069844,332197.417375024,4128567.11519478,0
2977,37.2885941,127.1069851,332197.488540211,4128567.56886736,0
2980,37.2885983,127.1069853,332197.515601739,4128568.03452301,0
2983,37.2886024,127.1069852,332197.515845602,4128568.48961569,0
2986,37.2886065,127.1069851,332197.516089466,4128568.94470838,0
2989,37.2886106,127.1069852,332197.534063659,4128569.39944604,0
2992,37.2886147,127.1069854,332197.560903017,4128569.85400619,0
2995,37.2886187,127.1069855,332197.578655037,4128570.29764836,0
2998,37.288623,127.1069856,332197.59707357,4128570.77457701,0
3001,37.2886271,127.1069856,332197.606182601,4128571.22949219,0
3004,37.2886313,127.1069852,332197.580053161,4128571.69621291,0
3007,37.2886353,127.1069846,332197.535749063,4128572.14109766,0
3010,37.2886395,127.1069835,332197.447563513,4128572.60906097,0
3013,37.2886434,127.1069821,332197.332115981,4128573.04427034,0
3016,37.2886471,127.1069801,332197.163033164,4128573.4583538,0
3019,37.2886508,127.1069779,332196.976220047,4128573.8727923,0
3022,37.2886545,127.1069754,332196.762811476,4128574.28776334,0
3025,37.2886579,127.1069726,332196.522140936,4128574.66998045,0
